Publication,StudyID,ES.ID,Taxon,Invertebrate.type,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.history,Fauna.manipulation,Mesh.size,Litter,Litter.identity,Units,Duration,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Anderson 1973,1,1,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,1-0.175 mm,Litter,Chestnut,prop. decom,930 d,23,22,3.817090396,2.883648465,75.01,66.44
Anderson 1973,1,2,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,7-1 mm,Litter,Chestnut,prop. decom,930 d,22,23,3.924633595,3.817090396,91.77,75.01
Anderson 1973,1,3,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,7-1 mm,Litter,Beech,prop. decom,930 d,8,7,4.350871317,4.360090171,40.41,45.39
Anderson 1973,1,4,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,1-0.175 mm,Litter,Beech,prop. decom,930 d,7,8,4.542323042,4.661132456,45.41,45.39
Anderson 1973,1,5,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,7-1 mm,Litter,Chestnut,prop. decom,930 d,21,20,4.605956183,4.677489137,77.18,70.49
Anderson 1973,1,6,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,1-0.175 mm,Litter,Chestnut,prop. decom,930 d,20,21,4.677489137,3.787639095,70.49,63.97
Anderson 1973,1,7,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,7-1mm,Litter,Beech,prop. decom,930 d,11,8,7.623160551,10.10152545,57.7,58.04
Anderson 1973,1,8,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,1-0.175 mm,Litter,Beech,prop. decom,930 d,8,8,10.10152545,8.413127621,58.04,55.71
Araujo et al. 2004,2,9,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Vismia sp.,prop. decom,97 d,4,3,0.5,1.4,18.4,15.2
Araujo et al. 2004,2,10,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Vismia sp.,prop. decom,97 d,4,3,1,1.1,15.5,17.1
Araujo et al. 2004,2,11,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Carapa guianesis,prop. decom,97 d,4,3,1.1,6.6,22.9,31.2
Araujo et al. 2004,2,12,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Hevea brasiliensis,prop. decom,97 d,4,3,2.6,9.3,34.8,38.2
Araujo et al. 2004,2,13,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Carapa guianesis,prop. decom,97 d,4,3,2.7,1.4,26.6,24.5
Araujo et al. 2004,2,14,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Mixed litter,prop. decom,97 d,4,3,3.3,2.8,29,24.2
Araujo et al. 2004,2,15,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Hevea brasiliensis,prop. decom,97 d,4,3,4.8,14.4,30.6,46.1
Araujo et al. 2004,2,16,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Mixed litter,prop. decom,97 d,4,3,7.6,3.3,28.9,28.7
Araujo et al. 2012,3,17,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Semiarid,Woodland,Field study,Litter,Shrub-steppe,Insecticide/litter bag exclusion,10-2 mm,Litter,Bromus pictus,prop. decom,1089 d,5,5,4.715867365,4.709159161,30.341,29.227
Araujo et al. 2012,3,18,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Semiarid,Woodland,Field study,Litter,Shrub-steppe,Insecticide/litter bag exclusion,2-0.01 mm,Litter,Bromus pictus,prop. decom,1089 d,5,5,4.715867365,0.941831832,29.227,32.446
Ashton et al. 2019,4,19,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Detritus shredders,Decomposers,Malayia,Tropical,Woodland,Field study,Litter,Tropical rainforest,Insecticide,1 cm,Litter,Shorea johorensis,prop. decom,112 d,12,12,0.010392305,0.01125833,0.57,0.401
Asplund et al. 2013,5,20,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Cladonia rangiferina,prop. decom,162 d,10,10,5.084942478,9.088385995,23.563,23.57
Asplund et al. 2013,5,21,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Cladonia stellaris,prop. decom,162 d,10,10,7.270076341,0.926547354,21.869,21.264
Asplund et al. 2013,5,22,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Hypogymnia physodes,prop. decom,162 d,10,10,9.088385995,5.451766686,89.661,52.301
Asplund et al. 2013,5,23,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Evemia prunastri,prop. decom,162 d,10,10,10.90353337,10.90037109,66.675,57.47
Asplund et al. 2013,5,24,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Pseudevemia furfuracea,prop. decom,162 d,10,10,12.72184303,3.633457032,66.093,59.194
Asplund et al. 2013,5,25,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Usnea dasypoga,prop. decom,162 d,10,10,12.85149641,11.0553227,52.873,50.002
Aubert et al. 2009,6,26,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion,10-2 mm,Litter,Fagus,prop. decom,365 d,3,3,3.827832285,7.811549142,46.19,38.13
Aubert et al. 2009,6,27,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion,10-2 mm,Litter,Mixed litter,prop. decom,365 d,3,3,7.430497964,18.30777704,52.82,39.52
Aubert et al. 2009,6,28,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion,2-0.175 mm,Litter,Fagus,prop. decom,365 d,3,3,7.811549142,6.30466494,38.13,34.08
Aubert et al. 2009,6,29,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion,2-0.175 mm,Litter,Carpinus,prop. decom,365 d,3,3,11.1544072,0.692820323,59.15,49.94
Aubert et al. 2009,6,30,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion,10-2 mm,Litter,Carpinus,prop. decom,365 d,3,3,16.43716216,11.1544072,70.03,59.15
Aubert et al. 2009,6,31,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion,2-0.175 mm,Litter,Mixed litter,prop. decom,365 d,3,3,18.30777704,2.875204341,39.52,34
Barajas-Guzman and Alvarez-Sanchez 2001,7,32,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Mexico,Tropical,Woodland,Field study,Litter,Mature forest,Litter bag exclusion,6-1 mm,Litter,Nectandra ambigens,prop. decom,50 d,5,5,4.074115855,4.074115855,11.343,10.998
Barajas-Guzman and Alvarez-Sanchez 2001,7,33,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Mexico,Tropical,Woodland,Field study,Litter,Mature forest,Litter bag exclusion,6-1 mm,Litter,Ficus yoponesis,prop. decom,50 d,5,5,4.978605352,1.358411296,86.647,70.879
Bastow et al. 2008,8,34,Porcellio scaber,Isopod,Detritus shredders,Decomposers,USA,Temperate,Grassland,Field study,Litter,Coastal prairie,Litter bag exclusion,6-1.5 mm,Litter,Mixed litter,prop. decom,365 d,12,12,12.12435565,3.987180959,69.641,50.38
Bernaschini et al. 2014,9,35,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Temperate,Woodland,Field study,Litter,Dry subtropical forest,Litter bag exclusion,1 mm,Litter,Platanus acerifolia,prop. decom,64 d,12,12,5.468148148,5.214074074,14.764,12.737
Blair et al. 1992,10,36,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Mixed-hardwood forest,Insecticide,6 mm,Litter,Quercus prinus,prop. decom,351 d,4,4,7.852,5.406,37.921,25.076
Blair et al. 1992,10,37,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Mixed-hardwood forest,Insecticide,6 mm,Litter,Cornus florida,prop. decom,351 d,4,4,8.976,13.314,90.198,83.736
Bradford et al. 2007,11,38,Orgyia leucostigma,Leaf-chewing Lepidoptera,Leaf chewers,Herbivores,USA,Temperate,Woodland,Mesocosm,Plant leaf,Laboratory,Induced herbivory,2 mm,Litter,Quercus rubra,prop. decom,112 d,16,16,2.344,2.988,48.58,46.45
Brennan et al. 2009,12,39,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Coastal Blackbutt forest,Litter bag exclusion,8-0.2mm,Litter,Eucalyptus spp.,prop. decom,390 d,6,6,3.468477476,8.164149313,48.078,44.108
Buckingham et al. 2015,13,40,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Soil,Eucalyptus forest,Insecticide,8 mm,Litter,Eucalyptus obliqua,prop. decom,365 d,10,10,10.78020454,5.391683411,78.183,53.295
Bush et al. 2018,14,41,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,5 mm,Litter,Ligustrum sinese,prop. decom,134 d,8,8,22.40397126,13.45482783,76.968,70.041
Butler et al. 2019,15,42,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Eucalyptus forest,Litter bag exclusion,20-0.3 mm,Litter,Eucalyptus pilularis,prop. decom,277 d,8,8,6.289007712,6.331434119,44.238,36.238
Cardenas et al. 2017,16,43,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Inga capitata,prop. decom,104 d,10,10,1.786,4.301,51.071,48.214
Cardenas et al. 2017,16,44,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Inga capitata,prop. decom,104 d,10,10,2.857,1.786,51.072,51.071
Cardenas et al. 2017,16,45,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Miconia purpono,prop. decom,104 d,10,10,2.879,1.786,32.145,31.073
Cardenas et al. 2017,16,46,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Nectandra viburnoides,prop. decom,104 d,10,10,2.993,3.642,26.074,24.645
Cardenas et al. 2017,16,47,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Nectandra viburnoides,prop. decom,104 d,10,10,3.642,3.214,24.645,24.296
Cardenas et al. 2017,16,48,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Neea comun,prop. decom,104 d,10,10,3.929,18.585,52.501,49.644
Cardenas et al. 2017,16,49,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Leonia glycycarpa,prop. decom,104 d,10,10,4.301,3.589,54.642,52.499
Cardenas et al. 2017,16,50,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Leonia glycycarpa,prop. decom,104 d,10,10,5.759,4.301,60,54.642
Cardenas et al. 2017,16,51,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Siparuna decipiens,prop. decom,104 d,10,10,6.438,8.222,52.501,53.215
Cardenas et al. 2017,16,52,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Pseudolmedia laevis,prop. decom,104 d,10,10,7.143,5.013,40.715,42.501
Cardenas et al. 2017,16,53,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Siparuna decipiens,prop. decom,104 d,10,10,8.222,3.929,53.215,53.576
Cardenas et al. 2017,16,54,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,1 - 0.5 mm,Litter,Matisia malacocalyx,prop. decom,104 d,10,10,10.412,10.357,44.644,51.429
Cardenas et al. 2017,16,55,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Matisia malacocalyx,prop. decom,104 d,10,10,11.071,10.412,58.929,44.644
Cardenas et al. 2017,16,56,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Pseudolmedia laevis,prop. decom,104 d,10,10,12.52,7.143,43.215,40.715
Cardenas et al. 2017,16,57,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Neea comun,prop. decom,104 d,10,10,12.857,3.929,49.644,52.501
Cardenas et al. 2017,16,58,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion,20 - 1 mm,Litter,Miconia purpono,prop. decom,104 d,10,10,18.942,2.879,50.001,32.145
Carrias et al. 2020,17,59,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Mesocosm,Litter,Lowland rainforest,Litter bag exclusion,4-0.08 mm,Litter,Platonia insignis,prop. decom,224 d,5,5,5.6,8.56,37.1,36.4
Carrias et al. 2020,17,60,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Mesocosm,Litter,Lowland rainforest,Litter bag exclusion,4-0.08 mm,Litter,Goupia glabra,prop. decom,224 d,5,5,5.8,5.6,45.5,45.7
Carrillo et al. 2011,18,61,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier,5-0.04 mm,Litter,Rye,prop. decom,165 d,4,4,1.747,1.31,48.91,50.218
Carrillo et al. 2011,18,62,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier,5-0.04 mm,Litter,Mixed litter,prop. decom,165 d,4,4,1.8,2.656,36.244,36.683
Carrillo et al. 2011,18,63,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier,5-0.04 mm,Litter,Pine,prop. decom,165 d,4,4,5.258,4.453,28.387,31.453
Carrillo et al. 2011,18,64,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier,5-0.04 mm,Litter,Clover,prop. decom,165 d,4,4,5.694,3.088,79.917,78.166
Carrillo et al. 2011,18,65,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier,5-0.04 mm,Litter,Amorpha,prop. decom,165 d,4,4,8.308,3.954,60.7,49.783
Carrillo et al. 2011,18,66,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier,5-0.04 mm,Litter,Wheat straw,prop. decom,165 d,4,4,14.41,10.044,56.795,50.656
Castanho et al. 2012,19,67,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Restinga forest,Litter bag exclusion,2-0.1 mm,Litter,Laurus nobilis,prop. decom,270 d,3,3,0.929157324,2.318045153,66.53333333,58.93333333
